;Date;Index_Component_Count;Internal_Number;ISIN;SEDOL;SEDOL7;Instrument_Name;Country;Currency;exchange;ICB;Mcap_Units_Index_Currency;InfoCode;closePrice_Cutoff;freeFloat_Cutoff;Free_Float_Market_Cutoff;Full_Market_Cap_Cutoff;FOR_FF;Weight
178630;12/18/2023;3997;EG7034;EGS3E181C010;B0Y52Q;B0Y52Q0;EGYPT ALUMINIUM;EG;EGP;0;55102035;70547521;39304;67.27;0.0796;71482786.34;898024954;0.08; 0.000064 
177102;12/18/2023;3997;TH228M;TH0577C10Z04;B73F0X;B73F0X3;SANSIRI;TH;THB;0;35101010;113359391;43220;1.67;0.9426;109500952.3;781591529.2;0.14; 0.000103 
177535;12/18/2023;3997;B03MQM;TRACLEBI91M5;B03MQM;B03MQM6;CELEBI HAVA SERVISI;TR;TRY;0;50206060;74251058;43801;927.5;0.1009;78819869.48;781168181.2;0.1; 0.000068 
177551;12/18/2023;3997;TR30PC;TREARMD00010;B16MXJ;B16MXJ6;INGRAM MCRO BILISIM SISTEMLERI;TR;TRY;0;10102030;35709709;170023;726;0.0842;50849221.37;603909992.5;0.08; 0.000033 
178637;12/18/2023;3997;EG5043;EGS673Y1C015;BVW29L;BVW29L4;EMAAR MISR FOR DEVELOPMENT;EG;EGP;0;35101010;69651070;281356;4.06;0.1126;67010395.21;595118962.8;0.11; 0.000064 
175777;12/18/2023;3997;IN10CI;INE950I01011;B4YWZT;B4YWZT3;D B CORP;IN;INR;0;40301030;79763057;219016;271.95;0.3575;82619399.08;580472712.3;0.14; 0.000073 
177477;12/18/2023;3997;B03MY0;TRATEKST91N0;B03MY0;B03MY00;ICBC TURKEY BANK ANONIM;TR;TRY;0;30101010;36489439;35522;17.47;0.0716;37284535.06;520733729.9;0.07; 0.000033 
177586;12/18/2023;3997;TR20K6;TREDAPG00032;BMCH8C;BMCH8C0;DAP GAYRIMENKUL GELISTIRME;TR;TRY;0;50101010;35144973;352618;37.8;0.1001;50490649.81;504402096;0.1; 0.000032 
178610;12/18/2023;3997;EG203Z;EGS38201C017;630703;6307039;EGYPTIAN CHEMICAL IND;EG;EGP;0;55201015;47856832;43431;12.61;0.0997;48278072.96;484233429.9;0.1; 0.000044 
178302;12/18/2023;3997;ID12WU;ID1000095508;B055M5;B055M58;BRI AGRONIAGA;ID;IDR;0;30101010;61776868;216285;294;0.1227;57550915.24;469037614;0.12; 0.000056 
176256;12/18/2023;3997;KR703L;KR7007700008;622365;6223652;F&F Holdings;KR;KRW;0;40204020;55587025;25902;15410;0.1198;55971023.58;467203869.6;0.12; 0.000051 
177524;12/18/2023;3997;413337;TRABANVT92A9;B03MPP;B03MPP2;BANVIT;TR;TRY;0;45102010;33157792;24002;124.6;0.0829;35809587.34;431961246.6;0.08; 0.000030 
177465;12/18/2023;3997;TR20J5;TREULET00014;BSP5SN;BSP5SN4;ULUSOY ELEKTRIK IMALAT TAAHHUT;TR;TRY;0;50202010;24667789;279516;155.7;0.0631;27241581.2;431720779.8;0.06; 0.000023 
177887;12/18/2023;3997;TW04JC;TW0002605003;681073;6810731;Sincere Navig;TW;TWD;0;50206030;59530587;35909;22.6;0.9015;48930762.7;423463172.9;0.12; 0.000054 
177766;12/18/2023;3997;TW30D5;TW0005222004;B3ZVQT;B3ZVQT9;TRANSCOM;TW;TWD;0;10102010;39781192;264764;168.5;0.9327;40217606.36;402176103.3;0.1; 0.000036 
178577;12/18/2023;3997;EG302Z;EGS60241C014;629890;6298906;EXPORT DEV.BK.OF EGYPT;EG;EGP;0;30202000;35451039;43428;17.45;0.0889;28119182.32;316301263.5;0.09; 0.000032 
178548;12/18/2023;3997;716083;PLZAPUL00057;716083;7160833;PULAWY;PL;PLN;0;55201015;11801567;28282;61.8;0.0402;11901179.09;296049231.2;0.04; 0.000011 
178632;12/18/2023;3997;EG20LH;EGS65851C015;665199;6651996;SIX OF OCT.DEV.& INV.;EG;EGP;0;35101010;39098393;39231;24.51;0.1447;40883265.07;282538113.9;0.14; 0.000036 
177175;12/18/2023;3997;TH22R5;TH8335010006;BFDB6T;BFDB6T5;HUMANICA;TH;THB;0;50205020;23638313;302531;10.8;0.4868;23089777.28;266318061.9;0.09; 0.000022 
177129;12/18/2023;3997;TH10JU;TH0981010000;B39L34;B39L349;SYNNEX (THAILAND);TH;THB;0;10102030;17989575;152430;10.2;0.265;18255480.06;245699560.7;0.07; 0.000016 
178593;12/18/2023;3997;EG8035;EGS691D1C018;B1VR8V;B1VR8V3;C I CAPITAL HLDG FOR FIN. INV;EG;EGP;0;30202015;13960924;73190;5.2;0.0793;13345030.02;168285372.3;0.08; 0.000013 
178643;12/18/2023;3997;B02LFN;GRS314003013;BLB3KB;BLB3KB5;MIG HOLDINGS S.A.;GR;EUR;0;30202000;20325858;23904;4.67;0.1221;19483976.6;159573927.9;0.12; 0.000019 
178510;12/18/2023;3997;EW031;LU0327357389;B28ZQ2;B28ZQ24;KERNEL HLDG;PL;PLN;0;45102010;56711523;140390;7.27;0.1809;11788729.88;153100388.1;0.08; 0.000052 
178553;12/18/2023;3997;EW048;PLTRKPL00014;B2QKZ4;B2QKZ46;TRAKCJA;PL;PLN;0;50101010;12808052;152690;1.595;0.096;12910851.12;134488032.5;0.1; 0.000012 
178568;12/18/2023;3997;PL00IS;PLPCCEX00010;B8FGJ0;B8FGJ01;PCC EXOL;PL;PLN;0;55201020;16499261;263823;2.965;0.1291;16704837.99;129394562.3;0.13; 0.000015 
171700;9/18/2023;3263;SA305A;SA0007879568;B128FP;B128FP8;NATIONAL AGRIC.DEV.;SA;SAR;0;45102010;0;1506;48.9;0.6754;0;;0; -   
172155;9/18/2023;3263;KR703L;KR7007700008;622365;6223652;F&F Holdings;KR;KRW;0;40204020;60753020;25902;17140;0.1198;60767146.59;507238285.4;0.12; 0.000059 
172250;9/18/2023;3263;KR030E;KR7006040000;627632;6276322;DONGWON IND;KR;KRW;0;45102010;80278918;24985;35000;0.3411;91459832.57;1323586578;0.07; 0.000077 
172259;9/18/2023;3263;KR32HX;KR7217820000;BYXDCM;BYXDCM9;WONIK PNE;KR;KRW;0;50204000;0;286788;8570;0.5947;0;;0; -   
172260;9/18/2023;3263;KR31YD;KR7420770000;BQP9G5;BQP9G50;GIGAVIS;KR;KRW;0;10102020;0;364318;86700;0.4378;0;;0; -   
172261;9/18/2023;3263;KR31IX;KR7360070007;BNQS90;BNQS901;TOPMATERIAL;KR;KRW;0;50202010;0;358594;78400;0.3728;0;;0; -   
172262;9/18/2023;3263;KR31ET;KR7042600007;654506;6545066;SERONICS;KR;KRW;0;10102015;0;9915;34250;0.4526;0;;0; -   
172263;9/18/2023;3263;KR319O;KR7006220008;607554;6075541;JEJU BANK;KR;KRW;0;30101010;0;34702;9050;0.2469;0;;0; -   
172264;9/18/2023;3263;KR30XB;KR7419080007;BPK259;BPK2594;ENJET;KR;KRW;0;10102020;0;359404;16090;0.7804;0;;0; -   
172265;9/18/2023;3263;KR31AP;KR7051980001;638217;6382177;JOONGANG DNM;KR;KRW;0;50101020;0;3940;2465;0.6665;0;;0; -   
172266;9/18/2023;3263;KR30V9;KR7079810008;B05JYW;B05JYW1;DE&T;KR;KRW;0;10102020;0;22639;31400;0.7059;0;;0; -   
172267;9/18/2023;3263;KR31VA;KR7094360005;BFZ1PK;BFZ1PK7;CHIPS & MEDIA;KR;KRW;0;10102010;0;269309;35050;0.735;0;;0; -   
172268;9/18/2023;3263;KR329P;KR7257720003;BLH03L;BLH03L1;SILICON2;KR;KRW;0;40401030;0;344725;8280;0.6047;0;;0; -   
172269;9/18/2023;3263;KR311G;KR7035290006;621817;6218175;GOLD&S;KR;KRW;0;40201010;0;20068;1243;0.4833;0;;0; -   
172270;9/18/2023;3263;KR31XC;KR7399720002;BLDB2C;BLDB2C2;GAON CHIPS;KR;KRW;0;10102010;0;354897;44550;0.7065;0;;0; -   
172271;9/18/2023;3263;KR32CS;KR7057680001;653259;6532596;T SCIENTIFIC;KR;KRW;0;10101020;0;8562;3660;0.8083;0;;0; -   
172272;9/18/2023;3263;KR31N2;KR7072770001;B23HHH;B23HHH7;YULHO;KR;KRW;0;10101015;0;138236;3150;1;0;;0; -   
172273;9/18/2023;3263;KR31DS;KR7096610001;B28KLS;B28KLS0;RF SEMI TECHNOLOGIES;KR;KRW;0;10102010;0;140307;16530;0.9209;0;;0; -   
172274;9/18/2023;3263;KR31KZ;KR7335890000;BJQWRR;BJQWRR8;VIOL;KR;KRW;0;20102010;0;321028;7880;0.6507;0;;0; -   
172275;9/18/2023;3263;KR14M2;KR7012030003;640215;6402150;DB Inc;KR;KRW;0;10101010;0;26376;1785;0.5665;0;;0; -   
172276;9/18/2023;3263;KR31GV;KR7298830001;BNHV6Y;BNHV6Y2;SURESOFT TECHNOLOGIES;KR;KRW;0;10101015;0;363744;10700;0.6646;0;;0; -   
172277;9/18/2023;3263;KR320G;KR7322510009;BK5QZN;BK5QZN0;JLK;KR;KRW;0;20101025;0;321215;34000;0.7621;0;;0; -   
172278;9/18/2023;3263;KR310F;KR7358570000;BMZMHW;BMZMHW5;GI INNOVATION;KR;KRW;0;20103010;0;362778;26800;0.925;0;;0; -   
172279;9/18/2023;3263;KR318N;KR7418550000;BNDS8Q;BNDS8Q3;JEIO;KR;KRW;0;50204000;0;361310;31100;0.6019;0;;0; -   
172280;9/18/2023;3263;KR327N;KR7053610002;638832;6388324;PROTEC;KR;KRW;0;10102020;0;4085;47750;0.5196;0;;0; -   
172281;9/18/2023;3263;KR32BR;KR7357550003;BLDCM8;BLDCM81;SUKGYUNG AT;KR;KRW;0;55201000;0;333263;53300;0.6377;0;;0; -   
172282;9/18/2023;3263;KR322I;KR7093640001;B28QFK;B28QFK8;KOREA ROBOT MANUFACTURING;KR;KRW;0;10102010;0;139781;9020;0.7855;0;;0; -   
172283;9/18/2023;3263;KR32FV;KR7338220007;BM9Q3L;BM9Q3L4;VUNO;KR;KRW;0;20102010;0;336019;55900;0.8311;0;;0; -   
172309;9/18/2023;3263;KR32EU;KR7077500007;B01XPG;B01XPG8;UNIQUEST;KR;KRW;0;10102010;0;19473;16360;0.4674;0;;0; -   
172310;9/18/2023;3263;KR328O;KR7031980006;616985;6169853;PSK HOLDINGS;KR;KRW;0;10102020;0;19893;27100;0.3929;0;;0; -   
172311;9/18/2023;3263;KR323J;KR7073570004;672361;6723613;LITHIUM-FOR-EARTH;KR;KRW;0;45201040;0;15319;14640;0.6679;0;;0; -   
172312;9/18/2023;3263;KR31HW;KR7117730002;BGSN8C;BGSN8C0;T ROBOTICS;KR;KRW;0;10102020;0;313697;34700;0.7954;0;;0; -   
172327;9/18/2023;3263;KR31JY;KR7277880001;BD0Y8M;BD0Y8M0;TSI;KR;KRW;0;50204050;0;301441;12960;0.581;0;;0; -   
172328;9/18/2023;3263;KR313I;KR7452260003;BNKBH5;BNKBH57;HANWHA GALLERIA;KR;KRW;0;40401010;0;362815;1321;0.6369;0;;0; -   
172329;9/18/2023;3263;KR30U8;KR7397030008;BNZJF8;BNZJF85;APRILBIO;KR;KRW;0;20103010;0;356590;22250;0.6921;0;;0; -   
172330;9/18/2023;3263;KR325L;KR7041020009;B0LMJS;B0LMJS5;POLARIS OFFICE;KR;KRW;0;10101015;0;27877;6800;0.7741;0;;0; -   
172331;9/18/2023;3263;KR321H;KR7003620002;627616;6276162;KG MOBILITY;KR;KRW;0;40101020;0;34724;8790;0.4116;0;;0; -   
172332;9/18/2023;3263;KR31U9;KR7007460009;641538;6415385;APROGEN;KR;KRW;0;50204040;0;29786;1938;0.5587;0;;0; -   
172333;9/18/2023;3263;KR317M;KR7453340002;BNGBZW;BNGBZW4;HYUNDAI GREEN FOOD;KR;KRW;0;40401010;0;363239;12580;0.6353;0;;0; -   
172334;9/18/2023;3263;KR314J;KR7451800007;BNYMCF;BNYMCF1;HANWHA REIT;KR;KRW;0;35102030;0;362682;5260;0.8413;0;;0; -   
172335;9/18/2023;3263;KR32DT;KR7014830004;B04H0M;B04H0M8;UNID;KR;KRW;0;55201000;0;22077;58100;0.656;0;;0; -   
172337;9/18/2023;3263;KR30WA;KR7058970005;BYY4K3;BYY4K38;EMRO;KR;KRW;0;10101015;0;289787;86300;0.5869;0;;0; -   
172338;9/18/2023;3263;KR315K;KR7024850000;632212;6322128;HLB INNOVATION COLTD;KR;KRW;0;10102010;0;577;3355;1;0;;0; -   
172339;9/18/2023;3263;KR326M;KR7058430000;654210;6542108;POSCO STEELEON;KR;KRW;0;55102010;0;9663;59000;0.4313;0;;0; -   
172340;9/18/2023;3263;KR31M1;KR7006740005;698799;6987992;YOUNG POONG PAPER;KR;KRW;0;55101015;0;44892;48900;0.6247;0;;0; -   
172341;9/18/2023;3263;KR1D2R;KR7036620003;620319;6203193;GAMSUNG CORPORATION;KR;KRW;0;40204020;0;20161;4390;0.7292;0;;0; -   
172342;9/18/2023;3263;KR32AQ;KR7011810009;674331;6743310;STX;KR;KRW;0;50205010;0;25817;36250;0.4856;0;;0; -   
172343;9/18/2023;3263;KR32GW;KR7010600005;698801;6988014;WELL BIOTEC;KR;KRW;0;50206040;0;45240;3465;0.9298;0;;0; -   
172344;9/18/2023;3263;KR312H;KR7011500006;642789;6427896;HANNONG CHEMICALS;KR;KRW;0;55201000;0;11005;15360;0.5397;0;;0; -   
172345;9/18/2023;3263;KR31WB;KR7214680001;BWX5FK;BWX5FK0;DRTECH;KR;KRW;0;20102010;0;282081;5560;0.9281;0;;0; -   
172346;9/18/2023;3263;KR31L0;KR7336570007;BKX8XB;BKX8XB2;WON TECH COLTD;KR;KRW;0;20102010;0;321561;14890;0.6764;0;;0; -   
172347;9/18/2023;3263;KR316L;KR7319400008;BJLQYJ;BJLQYJ6;HUYNDAI MOVEX;KR;KRW;0;10101010;0;316637;3615;0.4286;0;;0; -   
172348;9/18/2023;3263;KR324K;KR7378340004;BRZSRJ;BRZSRJ5;PHILENERGY;KR;KRW;0;50202040;0;365550;56900;0.3811;0;;0; -   
172349;9/18/2023;3263;KR31O3;KR7372170001;BMGFF6;BMGFF63;YUNSUNG F&C;KR;KRW;0;50204000;0;359225;188600;0.423;0;;0; -   
172350;9/18/2023;3263;KR31CR;KR7418420006;BQ1JSD;BQ1JSD6;RAONTECH;KR;KRW;0;10102010;0;361704;7900;0.7912;0;;0; -   
172351;9/18/2023;3263;KR30ZD;KR7270520000;BYVZ1C;BYVZ1C0;G ENONE ENERGY;KR;KRW;0;60102020;0;299420;9280;0.7236;0;;0; -   
172352;9/18/2023;3263;KR31T8;KR7354320004;BQ8327;BQ83273;ALMAC;KR;KRW;0;40101025;0;365196;75100;0.4483;0;;0; -   
172353;9/18/2023;3263;KR32IY;KR7122640006;BTMJQJ;BTMJQJ8;YEST;KR;KRW;0;10102010;0;281775;25000;0.7069;0;;0; -   
172354;9/18/2023;3263;KR31FU;KR7222810004;BYT6XQ;BYT6XQ3;SETOPIA COLTD;KR;KRW;0;10101010;0;284889;2720;0.8722;0;;0; -   
172355;9/18/2023;3263;KR30YC;KR7131400004;B4ZSHN;B4ZSHN8;EV ADVANCED MATERIAL;KR;KRW;0;10102010;0;244682;4915;1;0;;0; -   
172356;9/18/2023;3263;KR31BQ;KR7114190002;B56HDQ;B56HDQ6;KANGWON ENERGY;KR;KRW;0;50204000;0;216588;22650;0.5366;0;;0; -   
172858;9/18/2023;3263;TW03B3;TW0002373008;605999;6059998;Aurora Corp;TW;TWD;0;10102035;0;25648;75.9;0.2848;0;;0; -   
172859;9/18/2023;3263;TW30H9;TW0008478009;BYY983;BYY9839;ALEXANDER MARINE;TW;TWD;0;40203055;0;285385;420;0.3569;0;;0; -   
172860;9/18/2023;3263;TW30IA;TW0001514008;602005;6020057;ALLIS ELECTRIC;TW;TWD;0;50204000;0;31730;50.6;1;0;;0; -   
172875;9/18/2023;3263;TW30LD;TW0002539004;601863;6018632;SAKURA DEVELOPMENT;TW;TWD;0;35101010;0;45191;39.75;0.3741;0;;0; -   
172881;9/18/2023;3263;TW020R;TW0001903003;680453;6804530;Shihlin Paper;TW;TWD;0;55101015;0;41427;61.5;0.7975;0;;0; -   
172882;9/18/2023;3263;TW30ME;TW0003583001;B76624;B766248;SCIENTECH;TW;TWD;0;10102010;0;260958;211.5;0.6946;0;;0; -   
172883;9/18/2023;3263;TW013T;TW0001234003;614744;6147440;Hey Song Corp;TW;TWD;0;45101020;0;38675;38.65;1;0;;0; -   
172884;9/18/2023;3263;TW30D5;TW0005222004;B3ZVQT;B3ZVQT9;TRANSCOM;TW;TWD;0;10102010;0;264764;181;0.932;0;;0; -   
172885;9/18/2023;3263;TW30C4;KYG5138S1057;BYRP84;BYRP845;JINAN ACETATE CHEMICAL;TW;TWD;0;55201010;0;286157;936;0.4972;0;;0; -   
172886;9/18/2023;3263;TW30B3;TW0002645009;BLNKZ3;BLNKZ31;EVERGREEN AVIATION TECHNOLOGIES;TW;TWD;0;50201010;0;352430;135;0.3137;0;;0; -   
172887;9/18/2023;3263;TW30E6;TW0006691009;BD3W0Y;BD3W0Y7;YANKEY ENGINEERING;TW;TWD;0;50101035;0;308121;248;0.6714;0;;0; -   
172888;9/18/2023;3263;TW15FA;TW0001519007;634760;6347604;FORTUNE ELECTRIC;TW;TWD;0;10102015;0;44920;299.5;0.7519;0;;0; -   
172889;9/18/2023;3263;TW1J3C;TW0006235005;659085;6590851;WAFFER TECHNOLOGY;TW;TWD;0;55102050;0;11312;154;0.6519;0;;0; -   
172890;9/18/2023;3263;TW30JB;TW0006191000;634953;6349536;GLOBAL BRANDS MANF.;TW;TWD;0;10102015;0;44425;56.8;0.5935;0;;0; -   
172924;9/18/2023;3263;TW04JC;TW0002605003;681073;6810731;Sincere Navig;TW;TWD;0;50206030;50137585;35909;19.95;0.9015;42370791.41;366690981.9;0.12; 0.000048 
172934;9/18/2023;3263;TW501V;TW0002634003;B6TJTG;B6TJTG8;AEROSPACE INDV.;TW;TWD;0;50201020;169684754;277753;62;0.6482;183366778.3;1833667455;0.1; 0.000164 
173002;9/18/2023;3263;IN80JW;INE470Y01017;BZ7M4G;BZ7M4G7;NEW INDIA ASSURANCE;IN;INR;0;30302025;167343115;301840;129.2;0.0589;151487423.2;2571942669;0.06; 0.000161 
173075;9/18/2023;3263;IN043C;INE188A01015;641888;6418889;FERT.& CHEMS.TRAVANCORE;IN;INR;0;55201015;424265400;5162;463.45;0.1;362240528.8;3622405288;0.1; 0.000409 
173165;9/18/2023;3263;IN104A;INE002L01015;B3Y50F;B3Y50F6;Satluj Jal Vid;IN;INR;0;65101010;478039549;231544;62.61;0.1323;393201373;2972043635;0.13; 0.000461 
173216;9/18/2023;3263;IN313C;INE0NNS01018;BQPDVR;BQPDVR9;NMDC STEEL;IN;INR;0;55102000;0;361357;56.38;0.2505;0;;0; -   
173217;9/18/2023;3263;IN30W4;INE063P01018;BLB1VG;BLB1VG1;EQUITAS SMALL FINANCE BANK;IN;INR;0;30101010;0;331291;90.41;1;0;;0; -   
173218;9/18/2023;3263;IN30Z7;INE813A01018;623825;6238258;MAHINDRA LIFESPACE DVPR.;IN;INR;0;35101010;0;14414;569.45;0.498;0;;0; -   
173219;9/18/2023;3263;IN317G;INE191B01025;B07PYG;B07PYG1;WELSPUN;IN;INR;0;55102010;0;38579;327.05;0.4764;0;;0; -   
173220;9/18/2023;3263;IN314D;INE385C01021;BRZS5S;BRZS5S0;SARDA ENERGY & MINERALS;IN;INR;0;55102010;0;5334;227.9;0.2736;0;;0; -   
173239;9/18/2023;3263;IN315E;INE672A01018;646137;6461377;TATA INVESTMENT CORPORATION;IN;INR;0;30202010;0;45172;2423;0.2662;0;;0; -   
173240;9/18/2023;3263;IN40CL;INE769A01020;B0VX28;B0VX289;AARTI INDUSTRIES;IN;INR;0;55201020;0;5151;491.1;0.5382;0;;0; -   
173250;9/18/2023;3263;IN30V3;INE205B01023;B1FVBW;B1FVBW3;ELECON ENGINEERING;IN;INR;0;50204000;0;5411;885.6;0.4071;0;;0; -   
173251;9/18/2023;3263;IN30QY;INE570A01022;BRBKK7;BRBKK74;ION EXCHANGE INDIA;IN;INR;0;65102030;0;26568;566;0.7842;0;;0; -   
173252;9/18/2023;3263;IN30OW;INE930P01018;BKY4QV;BKY4QV0;ANUPAM RASAYAN INDIA;IN;INR;0;55201000;0;337341;1002.8;0.3919;0;;0; -   
173253;9/18/2023;3263;IN30U2;INE00LO01017;BYWFSG;BYWFSG2;CRAFTSMAN AUTOMATION;IN;INR;0;40101025;0;337398;4951.15;0.4501;0;;0; -   
173255;9/18/2023;3263;IN30X5;INE927D01044;BPP3C3;BPP3C35;JBM AUTO LIMITED;IN;INR;0;40101025;0;147925;1501.1;0.3255;0;;0; -   
173256;9/18/2023;3263;IN157I;INE372A01015;B01WBY;B01WBY5;APAR INDUSTRIES;IN;INR;0;50202010;0;4987;5013;0.3936;0;;0; -   
173257;9/18/2023;3263;IN316F;INE615H01020;BWZ1HS;BWZ1HS8;TITAGARH RAIL SYSTEMS;IN;INR;0;50206015;0;150142;809.4;0.5503;0;;0; -   
173258;9/18/2023;3263;IN30PX;INE0IX101010;BP6VTX;BP6VTX7;DATA PATTERNS INDIA;IN;INR;0;50201020;0;349734;2372.2;0.4746;0;;0; -   
173259;9/18/2023;3263;IN18GU;INE914M01019;BZ2YSF;BZ2YSF5;ASTER DM HEALTHCARE;IN;INR;0;20101010;0;304525;330.55;0.4846;0;;0; -   
173294;9/18/2023;3263;IN02W3;INE483A01010;B236VP;B236VP0;Central Bank IN;IN;INR;0;30101010;372988576;141232;34.86;0.0692;252954124.9;3655406430;0.07; 0.000360 
173296;9/18/2023;3263;IN10CI;INE950I01011;B4YWZT;B4YWZT3;D B CORP;IN;INR;0;40301030;76137499;219016;226.65;0.3574;69348890.04;487274506.9;0.14; 0.000073 
173335;9/18/2023;3263;IN07EQ;INE103A01014;612153;6121530;Mangalore;IN;INR;0;60101020;227534505;5159;95.21;0.1142;230182729.7;2015610592;0.11; 0.000219 
173360;9/18/2023;3263;IN815J;INE031A01017;BDVJZR;BDVJZR8;HOUSING AND URBAN DEVELOPMENT;IN;INR;0;30201025;217059766;297351;74.95;0.1241;224919630.2;1812406367;0.12; 0.000209 
173392;9/18/2023;3263;ID8014;ID1000098007;B00ZNP;B00ZNP0;BANK CIMB NIAGA;ID;IDR;0;30101010;211397464;35121;1700;0.0759;212929730.7;2805398297;0.08; 0.000204 
173395;9/18/2023;3263;ID12WU;ID1000095508;B055M5;B055M58;BRI AGRONIAGA;ID;IDR;0;30101010;61563157;216285;350;0.1227;63504923.42;517562538.1;0.12; 0.000059 
173404;9/18/2023;3263;ID00GB;ID1000094204;658003;6580034;Bank Danamon Indonesia Tbk PT;ID;IDR;0;30101010;118536600;35116;2930;0.076;123916989;1880379196;0.07; 0.000114 
173406;9/18/2023;3263;ID30KI;ID1000144108;BG20RW;BG20RW0;MAP AKTIF ADIPERKASA;ID;IDR;0;40401020;0;307415;810;0.3116;0;;0; -   
173411;9/18/2023;3263;ID8036;ID1000127707;BBGSY4;BBGSY46;SARATOGA INVESTAMA SEDAYA;ID;IDR;0;30202000;0;267477;1665;0.1258;0;;0; -   
173412;9/18/2023;3263;ID12ZX;ID1000162001;BMV87R;BMV87R2;BUKALAPAK COM;ID;IDR;0;10101020;0;343093;232;0.5288;0;;0; -   
173434;9/18/2023;3263;TR20QC;TREINVS00029;BN95D5;BN95D52;INVESTCO HOLDING A S;TR;TRY;0;30202000;218345076;352728;314;0.1001;221077723;2208568661;0.1; 0.000211 
173440;9/18/2023;3263;B03MY0;TRATEKST91N0;B03MY0;B03MY00;ICBC TURKEY BANK ANONIM;TR;TRY;0;30101010;23338616;35522;10.32;0.0716;23838073.59;332933988.6;0.07; 0.000023 
173551;9/18/2023;3263;TR20J5;TREULET00014;BSP5SN;BSP5SN4;ULUSOY ELEKTRIK IMALAT TAAHHUT;TR;TRY;0;50202010;29110554;279516;173.5;0.0631;32854798.7;520678267.8;0.06; 0.000028 
173561;9/18/2023;3263;412532;TRABRISA91E3;B03MQ6;B03MQ60;BRISA BRIDGESTONE SABANCI;TR;TRY;0;40101015;120283377;35434;72.95;0.1274;106375334.1;834971225.3;0.13; 0.000116 
173572;9/18/2023;3263;413337;TRABANVT92A9;B03MPP;B03MPP2;BANVIT;TR;TRY;0;45102010;31305510;24002;99.1;0.0829;30825530.57;371839934.6;0.08; 0.000030 
173581;9/18/2023;3263;TR30L8;TRECVKM00021;BNXGKV;BNXGKV6;CVK MADEN ISTML. SNVTA.;TR;TRY;0;55102000;0;363358;442.9;0.2;0;;0; -   
173582;9/18/2023;3263;TR30I5;TREAKFY00015;BQ0L5B;BQ0L5B0;AKFEN YENILENEBILIR ENERJI A S;TR;TRY;0;65101010;0;362499;15.85;0.335;0;;0; -   
